,author,authorChannelUrl,text,likeCount,publishedAt,offensive/non offensive,Algerian Dialect,auto_annotation,result
2320,Soad Soad,http://www.youtube.com/channel/UCeAUzL4uw7bS_f8mso94puA,يا حبيبتي قولى الا من رحم ربي وانتي روحي استري روحك من بعد واحد ما يشوف فيك بصح نقلك في جنسية الا من رحم ربي والجزايري خط احمر ليك والى كيفك انتي وغيرك,0,2020-10-22T12:56:49Z,p,,p,1.0
2321,Mostfa Fakro,http://www.youtube.com/channel/UC9pty6UUSJDGIYWEB8I6QfQ,تهدر علي ناس وهيا مثلت مسلسل مسخ كي لونها في غير لحب ودعوي شر وذرك تجي تعطنا دروس في اخلاق,0,2020-10-22T12:50:35Z,p,,n,0.0
2322,Asma Asma,http://www.youtube.com/channel/UCfJusnADZjXxHd3XyiRs16g,الحقيقة مرة,0,2020-10-22T12:36:57Z,n,,n,1.0
2323,عبد الحق شملال,http://www.youtube.com/channel/UCPcyV3NYNpSzqRcWXKu3pNA,شحال ساوموك فالجبهة تاعك ندير فيها مطار,0,2020-10-22T12:36:40Z,p,,n,0.0
2324,Ramiyy Ramiyy,http://www.youtube.com/channel/UCLf9L_ZuSx2U2c7h4V7-zlw,حاسبة في روحك زينة ونتي الشيطان يهرب منك,0,2020-10-22T12:32:18Z,p,,n,0.0
2325,Bilal Etwahrya,http://www.youtube.com/channel/UCLajjW0U0jJHoXSIXuAxz9Q,ختي خدمت في المدرسة الابتدايية بمطعم والله كانني انا هيا الوزير كول يحبوني بكول الاحتارم رجال والنساء حتي الاطفال لان كلام طيب مثل الاكل الجميل كون طيب مع الجميع كول بحبوك مو بعمل او ايي كان مستو هيا تربية اما اذ كان دراسة مع تربية فعلم انت كامل بالاخلاق كمل اله سبحان الله,1,2020-10-22T12:31:54Z,n,,n,1.0
2326,وسيم رمزي,http://www.youtube.com/channel/UCmn7TCEOtNsji1eJA3HKK_w,كون يقولولي لمن تشري الموت نشريهالك روحي شوفي روحك ومنبعد ارواحي اهدري في ارض الاحرار رجال ونساء والله غير تقول ماشي جزايرية,2,2020-10-22T12:02:44Z,p,,p,1.0
2327,Brahime D D B,http://www.youtube.com/channel/UCQzaQx-c2vy_YkfNyAzjoXg,المشكلة لي عندنا في الجزاير بلي ناس كيما هادي حاسبة روحها فاهمة والله غير تشف مقابرة كاينة حتي في اروبا وفي كامل المجتمعات ولاكن بحترام ومن غير قلة ادب,0,2020-10-22T11:56:06Z,p,,n,0.0
2328,All in one,http://www.youtube.com/channel/UCDxkE8c7gI1Aq5EBBCTYLRw,منين ذاك تخرج هايشة متكلمة في عصر مالعصور عله حايرين,0,2020-10-22T11:55:19Z,p,,p,1.0
2329,Brahime D D B,http://www.youtube.com/channel/UCQzaQx-c2vy_YkfNyAzjoXg,تشبه للمتحولين جنسيا وهدي تخلي لبنات هوما يحكو مشي هي معدودة جنس ثالث,0,2020-10-22T11:52:50Z,p,,n,0.0
2330,Salah Boudah,http://www.youtube.com/channel/UCr22ph73j0z2nWVuoVWO0pA,تحوس دير بووز كيما مريم دباغ في تونس حنا رانا دزيرية ربك مش توانسة نخلوك غير اطلعي اطلبي سماح ولا لابوبال كيما يقول بومدين,0,2020-10-22T11:46:12Z,p,,p,1.0
2331,Raine Daine,http://www.youtube.com/channel/UCMH3SsgPFCN7Gqe_3PW1KxQ,باشعة خارجيا داخليا سكالوب حاجة والكاشير حاجة اخرى,0,2020-10-22T11:44:45Z,p,,n,0.0
2332,Mehdi Zaidi,http://www.youtube.com/channel/UCPSU9uyzEVQpz3oAYnP5r1w,نعطز يمات ڨاع نسة لي كيما هي,0,2020-10-22T11:35:58Z,p,,n,0.0
2333,Moh Med,http://www.youtube.com/channel/UCxd9SaGXIRO18wJB4gfjIRg,مونية بن فغول نحب تعرفي تهدري,0,2020-10-22T11:24:40Z,n,,n,1.0
2334,l3arbi mohamed,http://www.youtube.com/channel/UCLLyxIaq5p2lXfGxfOYjd1g,3 9 3 3 9,0,2020-10-22T11:22:24Z,n,,n,1.0
2335,zergoune zergoune,http://www.youtube.com/channel/UCk4Jin6aoc5MULXt-s_87WQ,انسانة مهيش متربية,0,2020-10-22T11:13:44Z,p,,p,1.0
2336,اولادعلي اولادعلي,http://www.youtube.com/channel/UCDK9495lIu2PXvHe4iJGFig,الاول وش يقول لاتجادل الاحمق فاد جادلته فقد يخطىء الناس في التفريق بينكما,0,2020-10-22T11:06:36Z,n,,n,1.0
2337,Aya Sofya,http://www.youtube.com/channel/UCc6gCjPGsVKD2Z2yCNGNFkw,عندها حق صح هذا هو المجتمع الجزايري كذبت عليكم كامل هكا,0,2020-10-22T11:02:47Z,n,,n,1.0
2338,Sara sarita,http://www.youtube.com/channel/UCRsaJPcfXtZ6LaIUZqiMUPw,هاذي غلطت كي سبت وطيحت ها قودي كاين الرخاس صح بصح والله العظيم جامي بلاڨا عليا جان والله مربيين مام تلقايه باين زطايلي بصح والله مايرفد عينو,0,2020-10-22T11:01:53Z,p,,p,1.0
2339,Ben walid Farida,http://www.youtube.com/channel/UCIaD1OxjChHvJLZ5RtY6cCA,عندها الصح بالعكس عجبتني هدرتها,0,2020-10-22T10:58:54Z,n,,n,1.0
2340,Halim Halim,http://www.youtube.com/channel/UCauC5I9wu9uHOrgYtK26q4w,والله انا نشوف بلى راها تقصد فءة من المجتمع ينطبق عليها هدا الكلام برك ماعرفتش تهدر,1,2020-10-22T10:53:17Z,n,,n,1.0
2341,Algie2019,http://www.youtube.com/channel/UCWbEsoYSTmgWEr_P_OD4edg,الان فهمتك يا خمجة حبيتي تدي الشهرة بشتم والقضف عبالك وجهك تاع كف وبزاق,0,2020-10-22T10:44:19Z,p,,n,0.0
2342,bella rose,http://www.youtube.com/channel/UC-BnNAkzt-wySduw4FdMbaA,غير فهموني شقالت ماقالت عيب الحبة ترجعوها قبة هذو غير راهم لهو فيكم على صوالح كبار نتوما ياشعب لي تبعوا الشكيل كل حاجة تكبروها وتبعوها عيشو حياتكم ماتعيشوش للناس كل واحد يعس روحه ولي راه يوري روحه ماتقيموهش خلوها تهدر حنا نشوفو صغار يموتو وساكتين وواحد يهدر على الرجال تاكلوه روحو كولو لي يعتدي على طفولة على البراءة تماك نعرفو صح بلي مزال كاين رجال ولا نتا تبع الميني والعرا وكي يعايروك اه تولي راجل كاين صوالح اهم من صوشل ميديا لي خسرت رجال ونساء كبار وصغار تقدموا للامام ولا داعي لي اشهار الحثالات,0,2020-10-22T10:41:52Z,p,,p,1.0
2343,Minatos Sensei,http://www.youtube.com/channel/UC1bP1nM_6qW_UyU0r6xuTxg,مدايرة صليب في رقبتها شكون شاف,0,2020-10-22T10:40:31Z,p,,p,1.0
2344,Ali Ali,http://www.youtube.com/channel/UC5M27S3OjCLBQVDSB1j_Oqw,للاسف صوت الكلاب اجمل من صوتها,0,2020-10-22T10:28:09Z,p,,n,0.0
2345,Karim Karim,http://www.youtube.com/channel/UCGUMbWms5nq1JcRkjOR15Ow,عندي كلب راني نحوسلو على كلبا يعڨب معاه نهار ولى يومن يمنيا تقبلي بيه يعطيك حقك ميغبنكش عجبوه فنقرك,0,2020-10-22T09:47:39Z,p,,p,1.0
2346,Mohammed Benarbia,http://www.youtube.com/channel/UCUdwGtyAt5Mzt6k_fWwJG5g,هذه المسخوطة مريضة نفسيا,0,2020-10-22T09:39:46Z,p,,p,1.0
2347,Mehdi Saidi,http://www.youtube.com/channel/UCzUVTX5ZhBL1jp3oG3vZb5A,فايحا,0,2020-10-22T09:36:17Z,p,,p,1.0
2348,Amar Pirrate,http://www.youtube.com/channel/UCVFm-qVOf2r_rQtVvubLnpg,واش تكون هذه هي عبارة عن شفشاقة اللي يجي يبول فيها,0,2020-10-22T09:35:44Z,p,,n,0.0
2349,ABDELHAK BOUHANANI,http://www.youtube.com/channel/UCwBLF0b4uu5CmA3OjAzVD8w,راكها حاسبة روحها شابة وهي فيها شحال منكيلو نتاع المكياج,0,2020-10-22T09:25:01Z,p,,n,0.0
2350,ABDELHAK BOUHANANI,http://www.youtube.com/channel/UCwBLF0b4uu5CmA3OjAzVD8w,وهي شكون بااش تمثلنا حنا هي ماشي جزايرية ولامسلمة حجا باينة يغزروا فييها ماشي يشوفيها,0,2020-10-22T09:28:03Z,p,,n,0.0
2351,Abdou Sakr,http://www.youtube.com/channel/UCquCJyf9FzsWRPCSNEngGdw,القصاص يطبق عليك,0,2020-10-22T09:04:42Z,p,,p,1.0
2352,Maissa Maissoun,http://www.youtube.com/channel/UCDaOHj5dXilYx2NikGUcY3A,شفت الغاشي كامل يهدر فيها وقصتها عملة ضجة قلت والله غير ندخل نشوف وشقالت حتى راهم طايحين عليها بالثقيل لقيت بلي كلامها كامل صواب معلباليش فواش غلطت خمو شوية زعمة وشراهي تقول راهي غالطة فيه نن مراهيش غالطة بكل اسف بلادنا ولات هكا كثرو فيها ليمافيا وناس لي متخافش ربي حاشة البعض ونضن راهم قلال يتحسبو عالاصابع ربي يهدينا ويفيقنا بعيوبنا كل يوم نشوفو جرايم واغتصابات وحڨرة والكل ساكت ونهار يحكي واحد كلمة حق ينوضو ويفطنو والله ربي المستعان واخلاص,0,2020-10-22T09:00:20Z,n,,n,1.0
2353,Benamara Mohamed,http://www.youtube.com/channel/UCyMfQqQ9KcWRYK0bOH3PHvQ,ربي يهديك ويصلحلك بالك روحي عند طب نفسي مختالا عقليا,0,2020-10-22T08:55:04Z,p,,p,1.0
2354,#تَـا تَـا كَـا ـــي -.,http://www.youtube.com/channel/UCh0Yb1W_6t5RzB5z2p3btmQ,انا تبانلي عندها الصح شوية برك بصح هيا كانت تهدر بالتعميم كاين فية لي يقعدو عند الليسيات يتبلاو بنات الناس يعيروهم مالفوق للتحت والشيرات تاني ماراهمش ملايكة تلقاها لابسة معلاباليش كي نوصف,0,2020-10-22T08:52:53Z,n,,n,1.0
2355,salim tarfaoui,http://www.youtube.com/channel/UCGe4HTmZYrPGbjb6FoElrfQ,ق ح ب ة,0,2020-10-22T08:46:19Z,p,,n,0.0
2356,Lidia Ben Mohamed,http://www.youtube.com/channel/UCOAvzKB7Hr34bvJUf-GK-tA,روحي امسحي ريوڨ باباك وخوك وخوالك وعمومك ولا هوما ماهمش رجاجيل,0,2020-10-22T08:26:27Z,p,,p,1.0
2357,Hamza Foot-DZ,http://www.youtube.com/channel/UCbIO6r4yvYdaMAaShUWArHg,مثلت شوية قدمت شوية حصص صيبون رااح تركب فوقنا,0,2020-10-22T08:23:05Z,p,,n,0.0
2358,Oum maria Oum,http://www.youtube.com/channel/UCPFm2ItKuNLSX8eIC2zXkpw,يا بنات ابداو تساترو رواحكم رانا مسلمين ماشي متبرجات كاسيات عاريات تحاسبو في الرجال هذا شيء حرام عليكم البسي حجابك مستورة ناتورال اعرفي كيفاش اتسيري حتى واحد ماراح يتلع عينيه فيك او الحمدلله عندنا رجال فالجزاير فحولة غاضين ابصارهم ونفتخر بهم هي عيب عليها اجمع الله يهديها,0,2020-10-22T08:20:38Z,n,,n,1.0
2359,Assala Bou,http://www.youtube.com/channel/UC_hWavCLWLnMHQ8550ppMbQ,ربي قال الستر للبنات قال تني غض البصر لراجل نتوما غير واش يخرج عليكم,0,2020-10-22T08:20:16Z,n,,n,1.0
2360,Assala Bou,http://www.youtube.com/channel/UC_hWavCLWLnMHQ8550ppMbQ,تشتيو تزيدو فيها هي هدرت على فية معينة هاد لفية لنفسها تتبلا بناتكم نساكم لمعجبوش لحال او هكاك لبنات لمعجبهمش لحال يحيرو الله بسك سيفري ظاهرة مش نرمال يتبلاو بنات الناس يتحرشوا بيهم كي تفداوهم يوليو يسبوا كيفاه مدايرة هو لي عندو فدار تهرب,0,2020-10-22T08:18:57Z,n,,n,1.0
2361,Assala Bou,http://www.youtube.com/channel/UC_hWavCLWLnMHQ8550ppMbQ,عندها حق الله كرهونا,0,2020-10-22T08:14:15Z,n,,n,1.0
2362,Fawzi Ryan,http://www.youtube.com/channel/UCom6k_EvvQ73VLluP3Dvzxg,ااحقيقة تجرح لا ارى اي كلام غير صحيح نعم مكبوتين مقنوطين,0,2020-10-22T08:10:29Z,p,,n,0.0
2363,الكبير كبير,http://www.youtube.com/channel/UC8ey2jMAijthNaSD-4-Q92A,والله كلامك صحيح وين هيا الاهانة واش قالت صحيح كاين منو,0,2020-10-22T07:59:49Z,n,,n,1.0
2364,Serounet mama,http://www.youtube.com/channel/UC5LxTKdRhr6J8_cB2JF_qbw,كان راكي دايرة حجابك وخالعة خداع المومنين على وجهك وتلبسي لبسة مستورة كون راه واحد ماراهو يشوف في خليقتك شوفي لتمهجيلك ومن بعد اهدري على سياد الرجال,26,2020-10-22T07:49:36Z,p,,n,0.0
2365,Serounet mama,http://www.youtube.com/channel/UC5LxTKdRhr6J8_cB2JF_qbw,هاديك هي,0,2020-10-25T17:51:58Z,n,,n,1.0
2366,Ourdia Chaouche,http://www.youtube.com/channel/UCHvO2OL3myHf2TIseO3YRlg,متفقين ان المراة هذه ما نعرفش تهدر لكن درك نص الجزايريات راهم بالحجاب وهوما لراهم يشكو زمان كوحدة ما كانت حاجبة ما كانش مشاكل كل واحد كان اشوف غير قدامو ما يدورش المشكل في التربية القانون لي ما كانش زيادة للتفسير الكارثي للدين جعل جسم المراة ام المشاكل الاحترام والتزام الحدود يا اخي لا ينبغي ان تكون بشروط الملبس او غيره الاحترام بلا مزية كما نقولو سواء من الجانب الانساني او من الجانب القانوني,0,2020-10-25T15:49:53Z,n,,n,1.0
2367,Moha 81,http://www.youtube.com/channel/UCw_IW79-pa8gwWv-lHjmCQg,انا شت تعليقات بزاف علاش مالكم عليها راهي تكلم صراحة علاش حنا منحبوش الصراحة عيب ولا نبغو غير المجاملات ياك منحبوش اللقول فينا العيب عادي فيا مشكل ولا عيب نورمال اصاحبي انصحني والى كنت غالط ردني للطريق صحيح اصلا هاد السيدة لاتعمم كاين ناس ملاح والعكس صحيح هي تتكلم على الناس المراض اللمنعدهمش اخلاق وين هو المشكل ولا حنا منرضاوش لا هداك هو اللخلانا اليوم حنا العرب فالموخرة ديال كاع الامم اصلا عقلية متخلفة عندنا كل واحد فينا ياناس عندو حسنات وكذلك سييات الله اهديكم تقبلوا النقد راه عادي جدا وتواضعوا فيا حاجة ماشيش مزيانة صححلي نتقبل عادي متقبلتش يعني راني متكبر السيدة تتكلم على الواقع المعاش ليس فقط بالجزاير بل العرب كامل والله مصيبة فينا الله استر وصافي لاحياة لمن تنادي,0,2020-10-22T07:16:52Z,n,,p,0.0
2368,Karim Frouda,http://www.youtube.com/channel/UCVOUY5TXzfeRo8W15_6PIuA,الحقيقة مرا,0,2020-10-22T07:08:34Z,n,,n,1.0
2369,Rabah Medj,http://www.youtube.com/channel/UC1Hvnz7vh_oj5zyUPbhPfbQ,فاجرة,0,2020-10-22T06:51:03Z,p,,p,1.0
2370,العبد لله,http://www.youtube.com/channel/UCfYqqWHfT3lPmm50LnP1WIw,ربي يهديكي بنتي,0,2020-10-22T06:38:22Z,n,,n,1.0
2371,faracha faracha,http://www.youtube.com/channel/UClQwcoMTjJ1DGFqpsZed-Kg,تستاهلي كلبتي,0,2020-10-22T06:20:24Z,p,,p,1.0
2372,SAMIR MORSLI,http://www.youtube.com/channel/UCeWLp_GTxY6vIxSBY7p4ulw,هذه خشبة جهنم لوجاءت بن الاصل متوريش فيڨورتها ولات الناس تنعل فيها صباح وعشية والله لمسخها تقول ضفدعة ذات رايحة الكريهة واكثر من ذالك هذه السافلة التي تتعفن كالجيفة التي لاتستطيع الاقتراب منها الله يعطيك مصيبة تلتهاي بها,0,2020-10-22T06:19:01Z,p,,n,0.0
2373,Borhane Retima,http://www.youtube.com/channel/UCEbzFRHoQPdgQ6ukGval_rA,شكون شاف الصليب وتقولك او مفتاح تحسب فينا كباش صح,0,2020-10-22T06:16:55Z,p,,n,0.0
2374,Khaled Khaled,http://www.youtube.com/channel/UC4oiNsnRxdXxFji7Q9H_vEQ,علاه انتي ملكة الجمال قوليلي شكون يشوف فيك ربي يشافيك انا نقلك انتي ما جلبتيش الانتباه امالا درتي فيديو تسبي فيه الشرفاء وتسمعين مالا يرضيك من الشعب الجزايري لان الجزايري قع قع بصح الكرامة نتاعو هي راس مالو امالاالقافله تسير والكلاب تنبح هوهوهوهه ربي يجيب الشفا,0,2020-10-22T05:54:41Z,p,,n,0.0
2375,Rox rx,http://www.youtube.com/channel/UC0eDyJaPlFeCX1ATHwPTcEQ,روحي نحي السبعة كيلو ماكياج اللي راكي دايرتهم اذا انت ممثلة وطفلة صح حلي الكاميرا وجهك ما فيهش ماكياج كون نسبك تطيحي في الارض تبكي فضايحك اللي نعرفهم انا كاين بزاف ناس ميعرفوش فضايحك,4,2020-10-22T04:55:27Z,p,,p,1.0
2376,Naser Naser,http://www.youtube.com/channel/UC1GkeMszNoneyoGUZgUlRpw,من خلال تعليقات بنات دزاير احمد الله عز وجل اشكره على ان زوجتي ليست جزايرية هاذ المتحول لي فالفيديو عمم وهما يقولولك ماعممش,1,2020-10-22T04:02:31Z,p,,n,0.0
2377,وصفات اميرة ساجد,http://www.youtube.com/channel/UCEbuzDMC-gmFrDTlso3wNOQ,ياولدي اخطيكم منهم سوقهم فارغ ديرولي ليا ابوني عييت وانا نحلل فيكم,0,2020-10-22T03:55:32Z,n,,n,1.0
2378,Bassma Ibtissem,http://www.youtube.com/channel/UC9Wij_2Wlrp1-_OD8uArMsg,نستعرف بيك مونيا برتيلي قلبي,0,2020-10-22T03:30:55Z,n,,n,1.0
2379,Mimo Mino,http://www.youtube.com/channel/UCJ8ZZp6N8REbavf7wz_GxSg,نحيتي الحياء وزدتي الدين بالاك متخلعوش فيك نتيا وليتي تقصفي فيهم وليتي لاارادي طيحتي قدرك يا كشرودة,0,2020-10-22T03:15:19Z,p,,n,0.0
2380,assia talbi,http://www.youtube.com/channel/UCwUqKmkITK3e9-Gru_3uJLQ,3 3 3 3 3 3 3,0,2020-10-22T01:59:04Z,n,,n,1.0
2381,LEADER Slayer,http://www.youtube.com/channel/UCjsFsnan-5e4sMZZNXBVLQw,تصريح خطير ومستفز بلا بلا بلا واش هدرت صاح نتوما لي يهدر كلمه لحق يولي خاين عميل بلا بلا سينيما تعكم شحال تحبو تزيدو عليها,0,2020-10-22T01:18:19Z,p,,n,0.0
2382,Mohamed Mohamed,http://www.youtube.com/channel/UC-8dF9XxTy2XLqhdqrfXSgA,عندها صح شعبنا يعاني من مشكله اخلاقيه كبيره,0,2020-10-22T01:18:13Z,n,,n,1.0
2383,elianna bd,http://www.youtube.com/channel/UCC-B9_Y0lveNDlaHGRphlcA,عندها الحق واش قالت كامل,0,2020-10-22T00:43:41Z,n,,n,1.0
2384,Chidori Nagashi,http://www.youtube.com/channel/UCsX7zfVlK7ytZn2aP-Lj1Uw,شاء من شاء وابى من ابى هدرت لافيريتي 3,0,2020-10-22T00:27:56Z,n,,n,1.0
2385,Mohamed Rais,http://www.youtube.com/channel/UC0Xiy1afmCjBntZG3tjN-0g,وجهك كي,0,2020-10-22T00:04:29Z,p,,p,1.0
2386,Haroun Ghelmi,http://www.youtube.com/channel/UCxlG9E7ladU2Sne3hMy7rlw,الله غير عنها الحق وش هدرت كامل صح,0,2020-10-22T00:03:07Z,n,,n,1.0
2387,Sisi Jojo,http://www.youtube.com/channel/UCBtkRsLSxUii5Q5wSGcacog,انا مانعرفهش اول مره نشوفها شكون هاذي يرحم باباكم,0,2020-10-22T00:00:29Z,n,,n,1.0
2388,nasreddine belbach,http://www.youtube.com/channel/UCcP2RE5QZxTZUE-_pyc8EXA,مالقيتي معامن تخلطي خلطي مع الشعب اغسلي وجهك بالصابون واخرجي ونشوفو يريقو ولا لا,0,2020-10-21T23:35:20Z,p,,n,0.0
2389,btr sousoi,http://www.youtube.com/channel/UC8OD0J_TTPtBGQ645VheAoQ,مونية مش قصدها عل الرجال كامل حرام تهجمو عليها كامل هكا,0,2020-10-21T23:29:01Z,n,,n,1.0
2390,Abdelkader rami,http://www.youtube.com/channel/UCVkFeE0qZnEAkQpdxdDofvw,الله جامي شفتك في لاتيلي مانعرفكش غير من واحد الفيديو في اليوتيوب يعيي الله ما كنت نعرف وش ديري الموسف شفت كاتبين تمثلي ديري في بالك انا نتفرج على المراة الجزايرية المحترمة المحتشمة فقط بس واذا نحب نشوف المتبرجات ندير نتفرج في الاوروبيات الجميلات,0,2020-10-21T23:28:47Z,n,,n,1.0
2391,benkouider rachid,http://www.youtube.com/channel/UCR7jdBA18jv_2HWv5FjO1xQ,هي ماغلطتش في واش هدرة فقط طريقة كلامها كانت استفزازية,0,2020-10-21T23:25:01Z,n,,n,1.0
2392,Soussa Mca,http://www.youtube.com/channel/UCZqv4kdEFb1s2MXnDqiGieg,لي يلقا دار خير من دارهم يدعي على دارو بالخلا اللي ما عجباتوش الجزاير بشبابها شيابها يروح يهنينا,0,2020-10-21T23:08:34Z,n,,n,1.0
2393,Abdou Abdou,http://www.youtube.com/channel/UCMCKIzZqSoAw3K8_g4wfUEw,دير كلو مكيج,0,2020-10-21T23:07:57Z,p,,p,1.0
2394,Abdou Abdou,http://www.youtube.com/channel/UCMCKIzZqSoAw3K8_g4wfUEw,يشويدي,0,2020-10-21T23:06:06Z,p,,p,1.0
2395,Soussa Mca,http://www.youtube.com/channel/UCZqv4kdEFb1s2MXnDqiGieg,تحيا الشباب الجزايري لي عطا اروع مثال في الازمات كل الازمات اولها الحراك لي غيروا بيه مصير الجزاير خلصها من العصابة اخرها كورونا لي هب فيها كل شبابنا للمساعدة اذا ماشي بجيبو بذراعوا,0,2020-10-21T23:03:05Z,n,,n,1.0
2396,nahd smail,http://www.youtube.com/channel/UC9-juUOvB0J95H45faMJxuQ,عندها الحق وش قالت,0,2020-10-21T22:58:21Z,n,,n,1.0
2397,Nada Lhor,http://www.youtube.com/channel/UCrKf12UegUNSM5yMIDqKAHg,لكن رغم انها قالت الحقيقة الا انها ليست اهلا لتربي وتعلمنا شييا اتربي وارواحي هدري وفهمينا باسلوب فيه تربية,0,2020-10-21T22:56:39Z,p,,p,1.0
2398,hassen bahirene,http://www.youtube.com/channel/UC7pKYoFmMZIYhy6ndUQ9qgg,والله ملقات لرابيها علي كل حال هذي مراهقة او معندهاش اعلمن تحشم,0,2020-10-21T22:56:22Z,p,,p,1.0
2399,Didou Cris07,http://www.youtube.com/channel/UCYbYTcphSQXNthzFKavMRqA,شكون مونية هادي منعرفهاش,0,2020-10-21T22:53:46Z,n,,n,1.0
2400,Mustapha Khelfi,http://www.youtube.com/channel/UCzKzUjfwINo6HuVLOZy-1Rg,باسكو نتي تمشي عريانة في الطريق ولوكان جيتي لابسة حجاب واحد مايشوف فيك يا والله غير حشمنا ما نقولولك حنا شباب مربيين عليك يا ومكانش جزايري حر راح يتبلاك ديريها مليح في بالك,0,2020-10-21T22:52:29Z,p,,p,1.0
2401,Kamel Bonne,http://www.youtube.com/channel/UCyRYVKwsD-aDNIXNG-ELatg,كان من المفروض ان تمضمضي فمك قبل ان تصفى خلق الله بالحيوانات الادهي الامر تقولين كلاما يندى له الجبين انت تعلمين علم اليقين انه سيصل لذويك يسمعه ابوك اخوك جارك لكن ان لم تستحق فقل افعل ما شيت صدق من قال لا يمكن لشجرة الشوك ان تثمر عنبا والله غير ربي يهديك يا بنت الناس,0,2020-10-21T22:51:30Z,n,,n,1.0
2402,Nouari Rahmouni,http://www.youtube.com/channel/UCiiTQjM5Ebe0hBSVAKsU03w,ان لم تستحي فافعل ما شيت صدق رسول الله,32,2020-10-21T22:47:58Z,n,,n,1.0
2403,sofiane gaimng 100%,http://www.youtube.com/channel/UCaiRPRVvEWGfMRlvLnaSo5w,تصحيح فاصنع ما شية,0,2021-04-15T23:43:55Z,n,,n,1.0
2404,Cheryl nari,http://www.youtube.com/channel/UCarQbk35mSitR_iWA9UtSyw,في كل حاجة دخلوا الجهل المقدس,0,2021-01-22T12:50:36Z,n,,n,1.0
2405,Onew Leedubu,http://www.youtube.com/channel/UCilYz3DjblY-j7Hlsg-aQnQ,عليه الصلاه والسلام,1,2020-12-25T21:04:55Z,n,,n,1.0
2406,ti na,http://www.youtube.com/channel/UCQ9ydy8SOSt-fqGyfEfJB3w,المشكل هدرتها اكل صح انا مرة في الطوموبيل نستناو في الفيروج يخضار فاتت طفلة الذراري كامل مركزين معاها تقول هذيك الطفلة جاية من الفضاء شغل اول مرة فحياتهم يشوفو طفلة ملغري محجبة ومستورة عادو يمشو ويدورو وراهم يكملو في تكحالهم وهذي المظاهر كل يوم نشوفو فيها كامل مافهمتش علاش هي كي حكات حكاية شافتها قدام عينيها وكلنا نشوفو فيها تخلعتو هاو غير بلعقل ماديروش رواحكم بلي جامي شفتو هذي المظاهر,0,2020-10-21T22:46:25Z,n,,n,1.0
2407,Hachemi crb,http://www.youtube.com/channel/UCM4IR5VP5P2jMhNHBXrnNTg,عسي روحك بركات,0,2020-10-21T22:44:09Z,n,,n,1.0
2408,IMX XNE,http://www.youtube.com/channel/UCkQF2MWcmKB0aS4v-xiu16w,مي باينة نتي ديري زوج قناطر تاع ماكياج لبستك قريب تطرطق ديري الريحة ظلي تشحبي فالزنق تجيك بيزار الا ريقو عليك منيش نهدر برك عليك راني على اي شيرة دير هاك لوكان جيتو ساترين رواحكم عند حدكم ملتزمين بدينكم تا واحد ميشوف فيكم,1,2020-10-21T22:40:07Z,p,,n,0.0
2409,LION DZAIR,http://www.youtube.com/channel/UCEejDioGR3H5FJqZC61TXmg,والله كاين صح لي مخلوعين شغل جامي شافو مراة خسرو الرجال على جال واحد النساء فيهم كامل الصفاة الى صفة امراة كانهم عبيدهم بصح مزال كاين الرجال لي يبزقو عليك على لي كيما نتي شابعين او شايفين,0,2020-10-21T22:31:19Z,p,,n,0.0
2410,meriem bjd,http://www.youtube.com/channel/UCGnEgMAwCCJKyy9JapeJniA,كاينا والسبب الرييسي هم النساء لوكان سترت روحها ماحاش يخزرو فيها كاينا ولا ما كاش وايضا امر الله الرجل ان يغضض بصره,0,2020-10-21T22:24:46Z,n,,n,1.0
2411,mohamaed mahmoudi,http://www.youtube.com/channel/UCtvIVw4g7Ca6OvUKY7ybolA,لو كان مشي خليفة ربي علابالك شادي خرمنها,0,2020-10-21T22:19:43Z,p,,p,1.0
2412,Nom Ett,http://www.youtube.com/channel/UCjeQAnbalnCHbX3ezHDe-Gw,من ناحية اخرى للامانة فهي لخصت بصدق جرية اخلاق الشعب الجزايري لكن التشبيه بالحيوانات غير مقبول,5,2020-10-21T22:18:38Z,n,,n,1.0
2413,Benlahcen Khalil,http://www.youtube.com/channel/UCSQ9BKGQMb2S6jhXnh9hmzA,الشعب الجزايري افضل شعب في العالم,0,2020-10-23T07:41:24Z,n,,n,1.0
2414,خياطة وإبداع جزائرية Sisi,http://www.youtube.com/channel/UC5wDMophLWP6c2BPmp2KMyg,ياخي الحجاب فرض حبيت نسقسيق كيش تشوفي في روحك وانت كاسية عارية والله يقول منعولات سبحان الله المنكر ما انكرته القلوب السليمة النساء مبعجبهمش واش قلتي حتى المتبرجات علابالهم بلي الحجاب فرض,0,2020-10-21T22:17:16Z,p,,n,0.0
2415,madjid sail,http://www.youtube.com/channel/UCv99CL28FYM8SPq8LPX-2vA,الله يهديك وروحي ستري روحك واتقي الله في نفسك وتحيا الجزاير والله يرحم الشهداء,1,2020-10-21T22:16:03Z,p,,n,0.0
2416,Souf Boun,http://www.youtube.com/channel/UCHNz4Ry22vuY8hfLRIXS6Pw,روحي اغسلي فمك قبل ما تهدري على الشاب الجزايري,0,2020-10-21T22:06:14Z,p,,p,1.0
2417,Yasmine amir,http://www.youtube.com/channel/UC5iAwv07Djx6yKanyUvfRvw,عندها الحق 100,0,2020-10-21T22:06:05Z,n,,n,1.0
